估计零点与真实零点的虚部比较 (前1000个),,,,,虚部误差较大的零点的编号 (前76个),,,各个零点的计算耗时 (前1000个),,,,前N个零点的计算总耗时,,,,
零点序号,估算零点虚部,真实零点虚部,虚部误差,,零点序号,虚部误差,,零点序号,估值计算耗时(秒),Python库计算耗时(秒),,测试对象,估计总耗时(秒),Python库总耗时(秒),(估计)平均每个零点耗时(秒),(库)平均每个零点耗时(秒)
255,478.9422209,478.0752638,0.86695718,,,,,255,4.38E-05,1.25E-01,,,,,,
256,478.9422209,478.9421815,0.00003938,,,,,256,4.68E-05,1.19E-01,,,,,,
257,481.8303883,481.8303394,0.00004894,,,,,257,4.08E-05,1.29E-01,,,,,,
258,482.8347558,482.8347828,0.00002699,,,,,258,4.05E-05,1.28E-01,,,,,,
259,483.8514723,483.8514272,0.00004505,,,,,259,3.39E-05,1.17E-01,,,,,,
260,485.5395163,485.5391481,0.00036816,,,,,260,6.86E-05,1.28E-01,,,,,,
261,486.5287461,486.5287183,0.00002786,,,,,261,3.72E-05,1.28E-01,,,,,,
262,488.3805879,488.3805671,0.00002077,,,,,262,3.51E-05,1.16E-01,,,,,,
263,489.6617793,489.6617616,0.0000177,,,,,263,4.51E-05,1.25E-01,,,,,,
264,491.3988499,491.3988216,0.00002827,,,,,264,4.76E-05,1.07E-01,,,,,,
265,493.314454,493.3144416,0.00001238,,,,,265,3.26E-05,1.26E-01,,,,,,
266,493.9580182,493.9579978,0.00002042,,,,,266,4.08E-05,1.29E-01,,,,,,
267,592.4014076,495.3588288,97.04257877,,,,,267,5.18E-05,1.48E-01,,,,,,
268,496.4297236,496.4296962,0.00002736,,,,,268,4.25E-05,1.05E-01,,,,,,
269,498.5808101,498.5807824,0.00002762,,,,,269,9.26E-05,1.25E-01,,,,,,
270,500.3091023,500.3090849,0.00001737,,,,,270,4.22E-05,1.07E-01,,,,,,
271,501.6044991,501.604447,0.00005208,,,,,271,3.76E-05,1.16E-01,,,,,,
272,502.276283,502.2762703,0.00001271,,,,,272,3.91E-05,1.30E-01,,,,,,
273,504.4997437,504.4997733,0.00002965,,,,,273,5.10E-05,1.23E-01,,,,,,
274,468.1143492,505.4152317,37.30088257,,,,,274,3.67E-05,1.34E-01,,,,,,
275,506.4642026,506.4641527,0.00004988,,,,,275,3.40E-05,1.11E-01,,,,,,
276,508.8007124,508.8007003,0.00001209,,,,,276,3.90E-05,1.21E-01,,,,,,
277,510.2642581,510.2642279,0.00003015,,,,,277,4.07E-05,1.13E-01,,,,,,
278,511.5622914,511.5622897,0.00000174,,,,,278,4.82E-05,1.15E-01,,,,,,
279,511.2835395,512.6231445,1.33960502,,,,,279,6.36E-05,1.16E-01,,,,,,
280,513.6690008,513.6689856,0.00001524,,,,,280,3.80E-05,1.16E-01,,,,,,
281,515.4350831,515.4350572,0.00002597,,,,,281,3.07E-05,1.14E-01,,,,,,
282,517.5896993,517.5896686,0.00003071,,,,,282,3.41E-05,1.09E-01,,,,,,
283,518.234221,518.2342232,0.00000215,,,,,283,4.53E-05,1.27E-01,,,,,,
284,520.1063481,520.1063104,0.00003772,,,,,284,3.27E-05,1.16E-01,,,,,,
285,521.5251687,521.5251935,0.00002476,,,,,285,3.10E-05,1.09E-01,,,,,,
286,522.456742,522.4566962,0.0000458,,,,,286,3.04E-05,1.02E-01,,,,,,
287,524.2428465,523.9605309,0.28231565,,,,,287,4.30E-05,9.05E-02,,,,,,
288,525.0774239,525.0773857,0.00003824,,,,,288,8.13E-05,1.29E-01,,,,,,
289,527.90368,527.9036416,0.00003843,,,,,289,1.01E-04,1.27E-01,,,,,,
290,528.4062016,528.4062139,0.00001228,,,,,290,1.36E-04,1.07E-01,,,,,,
291,529.8062467,529.8062263,0.0000204,,,,,291,7.91E-05,1.09E-01,,,,,,
292,530.8669374,530.8669179,0.00001954,,,,,292,1.13E-04,9.83E-02,,,,,,
293,532.6882006,532.688183,0.00001759,,,,,293,6.21E-05,1.08E-01,,,,,,
294,533.7796483,533.7796308,0.00001756,,,,,294,6.58E-05,1.19E-01,,,,,,
295,535.664338,535.6643141,0.00002391,,,,,295,7.37E-05,1.17E-01,,,,,,
296,537.0697715,537.0697591,0.00001244,,,,,296,1.21E-04,1.04E-01,,,,,,
297,538.428547,538.4285262,0.00002086,,,,,297,5.56E-05,9.93E-02,,,,,,
298,540.2002789,540.2131664,0.01288748,,,,,298,5.62E-05,1.21E-01,,,,,,
299,541.8474676,540.6313903,1.21607739,,,,,299,4.28E-05,1.20E-01,,,,,,
300,541.8474669,541.8474371,0.00002977,,,,,300,6.58E-05,9.56E-02,,,,,,
301,544.3239204,544.3238901,0.00003029,,,,,301,4.29E-05,1.34E-01,,,,,,
302,545.6368354,545.6368333,0.00000214,,,,,302,4.84E-05,1.16E-01,,,,,,
303,547.0109426,547.0109121,0.00003051,,,,,303,5.89E-05,1.03E-01,,,,,,
304,547.9316114,547.9316134,0.00000197,,,,,304,4.05E-05,1.20E-01,,,,,,
305,549.4975978,549.4975676,0.00003026,,,,,305,3.50E-05,1.03E-01,,,,,,
306,550.9700143,550.97001,0.00000424,,,,,306,3.23E-05,1.09E-01,,,,,,
307,552.0495966,552.0495722,0.00002443,,,,,307,4.94E-05,1.09E-01,,,,,,
308,553.7649905,553.7649721,0.00001838,,,,,308,3.48E-05,1.34E-01,,,,,,
309,555.7920558,555.7920206,0.00003524,,,,,309,1.34E-04,1.14E-01,,,,,,
310,556.8993891,556.8994764,0.00008734,,,,,310,5.11E-05,1.32E-01,,,,,,
311,557.5647069,557.5646592,0.00004771,,,,,311,8.85E-05,1.19E-01,,,,,,
312,560.3878193,559.316237,1.07158222,,,,,312,4.27E-05,1.19E-01,,,,,,
313,560.2408356,560.2408075,0.00002813,,,,,313,4.92E-05,1.08E-01,,,,,,
314,562.5592349,562.5592076,0.0000273,,,,,314,4.58E-05,1.08E-01,,,,,,
315,564.1607701,564.1608791,0.00010907,,,,,315,5.02E-05,1.19E-01,,,,,,
316,564.5060978,564.5060559,0.00004189,,,,,316,9.82E-05,1.32E-01,,,,,,
317,566.6988039,566.6987877,0.00001623,,,,,317,4.66E-05,1.08E-01,,,,,,
318,567.7317714,567.7317579,0.00001351,,,,,318,5.14E-05,1.01E-01,,,,,,
319,568.9239131,568.9239552,0.00004208,,,,,319,3.97E-05,1.15E-01,,,,,,
320,570.0511393,570.0511148,0.00002452,,,,,320,4.18E-05,1.08E-01,,,,,,
321,572.4200127,572.4199841,0.00002853,,,,,321,4.35E-05,1.09E-01,,,,,,
322,573.6146114,573.6146105,0.00000082,,,,,322,4.37E-05,1.08E-01,,,,,,
323,575.0938306,575.093886,0.00005537,,,,,323,5.25E-05,1.10E-01,,,,,,
324,575.8072298,575.8072471,0.00001736,,,,,324,9.56E-05,1.35E-01,,,,,,
325,577.0390347,577.0390035,0.00003119,,,,,325,4.02E-05,1.03E-01,,,,,,
326,579.0988375,579.0988347,0.0000028,,,,,326,3.74E-05,1.44E-01,,,,,,
327,580.1369762,580.1369594,0.00001688,,,,,327,3.44E-05,1.21E-01,,,,,,
328,581.9465955,581.9465763,0.0000192,,,,,328,4.37E-05,1.18E-01,,,,,,
329,583.2361016,583.2360882,0.00001334,,,,,329,3.53E-05,1.04E-01,,,,,,
330,584.5617204,584.5617059,0.00001446,,,,,330,3.84E-05,1.02E-01,,,,,,
331,586.742352,585.9845632,0.75778883,,,,,331,3.41E-05,1.19E-01,,,,,,
332,585.9845895,586.7427719,0.75818238,,,,,332,4.72E-05,1.34E-01,,,,,,
333,588.1396907,588.1396633,0.00002742,,,,,333,3.77E-05,1.21E-01,,,,,,
334,590.6604278,590.6603975,0.00003031,,,,,334,3.76E-05,1.20E-01,,,,,,
335,591.7258503,591.7258581,0.00000772,,,,,335,3.32E-05,1.08E-01,,,,,,
336,592.57138,592.5713583,0.00002165,,,,,336,3.51E-05,1.11E-01,,,,,,
337,593.9747323,593.9747147,0.00001761,,,,,337,3.45E-05,1.14E-01,,,,,,
338,596.373363,595.7281537,0.64520932,,,,,338,3.16E-05,1.22E-01,,,,,,
339,596.3627874,596.3627683,0.00001905,,,,,339,4.29E-05,1.27E-01,,,,,,
340,598.4930939,598.4930774,0.00001654,,,,,340,4.78E-05,1.37E-01,,,,,,
341,599.5456529,599.5456404,0.00001256,,,,,341,4.27E-05,1.21E-01,,,,,,
342,601.6021662,601.6021367,0.00002943,,,,,342,3.32E-05,1.23E-01,,,,,,
343,602.5791611,602.5791679,0.00000684,,,,,343,3.30E-05,1.03E-01,,,,,,
344,606.3134625,603.6256189,2.6878436,,,,,344,6.15E-05,1.02E-01,,,,,,
345,604.6162281,604.6162185,0.00000963,,,,,345,5.34E-05,1.17E-01,,,,,,
346,606.3834838,606.3834604,0.00002333,,,,,346,4.84E-05,1.28E-01,,,,,,
347,608.4132365,608.4132173,0.00001918,,,,,347,5.19E-05,1.23E-01,,,,,,
348,609.3895827,609.3895752,0.00000758,,,,,348,1.24E-04,1.12E-01,,,,,,
349,610.8391789,610.8391629,0.00001592,,,,,349,4.49E-05,1.11E-01,,,,,,
350,611.774218,611.7742096,0.00000842,,,,,350,1.90E-04,1.24E-01,,,,,,
351,613.5997907,613.5997787,0.00001206,,,,,351,8.22E-05,1.23E-01,,,,,,
352,615.5407343,614.6462379,0.89449638,,,,,352,5.51E-05,1.17E-01,,,,,,
353,615.5385956,615.5385634,0.00003221,,,,,353,2.14E-04,1.12E-01,,,,,,
354,618.1128607,618.1128314,0.00002931,,,,,354,4.88E-05,1.21E-01,,,,,,
355,619.1844735,619.1844826,0.00000911,,,,,355,4.79E-05,1.05E-01,,,,,,
356,620.2729262,620.2728937,0.0000325,,,,,356,4.39E-05,1.23E-01,,,,,,
357,622.3750432,621.7092945,0.66574866,,,,,357,6.50E-05,1.19E-01,,,,,,
358,622.3746045,622.3750027,0.00039824,,,,,358,4.33E-05,1.08E-01,,,,,,
359,624.2699129,624.2699,0.00001286,,,,,359,6.20E-05,1.47E-01,,,,,,
360,626.0193128,626.0192834,0.0000294,,,,,360,5.39E-05,1.25E-01,,,,,,
361,627.2683826,627.2683969,0.0000143,,,,,361,3.95E-05,1.05E-01,,,,,,
362,628.325902,628.3258624,0.0000396,,,,,362,5.59E-05,1.23E-01,,,,,,
363,630.4738708,630.4738874,0.00001663,,,,,363,4.26E-05,1.12E-01,,,,,,
364,630.8058196,630.8057809,0.00003863,,,,,364,4.91E-05,1.39E-01,,,,,,
365,632.2251476,632.2251412,0.00000641,,,,,365,3.87E-05,1.15E-01,,,,,,
366,633.5468783,633.5468583,0.00002008,,,,,366,4.74E-05,1.09E-01,,,,,,
367,635.5238217,635.5238003,0.00002142,,,,,367,4.22E-05,1.09E-01,,,,,,
368,637.397204,637.3971932,0.00001081,,,,,368,4.21E-05,1.30E-01,,,,,,
369,637.9255225,637.925514,0.00000853,,,,,369,4.72E-05,1.28E-01,,,,,,
370,638.9279488,638.9279383,0.00001053,,,,,370,4.44E-05,1.31E-01,,,,,,
371,640.6948176,640.6947947,0.00002297,,,,,371,4.83E-05,1.12E-01,,,,,,
372,641.9455031,641.9454997,0.00000347,,,,,372,3.47E-05,1.06E-01,,,,,,
373,643.2789071,643.2788838,0.00002334,,,,,373,3.99E-05,1.02E-01,,,,,,
374,644.9905877,644.9905782,0.00000944,,,,,374,3.49E-05,1.21E-01,,,,,,
375,646.348215,646.3481916,0.00002339,,,,,375,4.57E-05,1.06E-01,,,,,,
376,647.7617488,647.761753,0.00000426,,,,,376,4.96E-05,1.09E-01,,,,,,
377,648.7864357,648.7864009,0.00003483,,,,,377,4.46E-05,1.26E-01,,,,,,
378,632.1104368,650.1975194,18.0870826,,,,,378,5.31E-05,1.27E-01,,,,,,
379,650.6687402,650.6686839,0.00005627,,,,,379,3.84E-05,1.96E-01,,,,,,
380,653.6496059,653.6495716,0.0000343,,,,,380,3.60E-05,1.15E-01,,,,,,
381,654.301908,654.3019206,0.00001258,,,,,381,4.23E-05,1.36E-01,,,,,,
382,655.7094878,655.709463,0.00002479,,,,,382,3.56E-05,1.10E-01,,,,,,
383,656.9640881,656.9640846,0.00000346,,,,,383,3.38E-05,1.08E-01,,,,,,
384,658.175634,658.1756144,0.00001954,,,,,384,3.97E-05,1.11E-01,,,,,,
385,659.6638558,659.663846,0.00000981,,,,,385,4.88E-05,1.14E-01,,,,,,
386,660.7167466,660.7167326,0.000014,,,,,386,3.56E-05,1.07E-01,,,,,,
387,662.2966041,662.2965864,0.00001767,,,,,387,5.45E-05,1.06E-01,,,,,,
388,664.2446247,664.2446047,0.00002001,,,,,388,4.26E-05,1.21E-01,,,,,,
389,665.3427671,665.3427631,0.00000403,,,,,389,6.56E-05,1.14E-01,,,,,,
390,667.1485145,666.5151477,0.63336676,,,,,390,6.67E-05,1.18E-01,,,,,,
391,667.1456696,667.1484949,0.00282527,,,,,391,3.98E-05,1.11E-01,,,,,,
392,668.9758663,668.9758488,0.00001743,,,,,392,6.36E-05,1.07E-01,,,,,,
393,670.3235989,670.3235852,0.00001367,,,,,393,5.43E-05,1.39E-01,,,,,,
394,672.4582199,672.4581836,0.00003627,,,,,394,9.23E-05,2.64E-01,,,,,,
395,673.043559,673.0435783,0.00001929,,,,,395,5.04E-05,2.71E-01,,,,,,
396,674.3559247,674.3558978,0.0000269,,,,,396,3.86E-04,2.67E-01,,,,,,
397,676.1396802,676.1396744,0.00000583,,,,,397,6.04E-05,2.43E-01,,,,,,
398,677.8004522,677.2301807,0.57027152,,,,,398,4.46E-05,2.20E-01,,,,,,
399,767.3093099,677.8004448,89.5088652,,,,,399,5.78E-05,2.88E-01,,,,,,
400,679.7422208,679.7421979,0.00002293,,,,,400,3.80E-05,2.11E-01,,,,,,
401,681.8950069,681.8949915,0.00001536,,,,,401,8.31E-05,2.69E-01,,,,,,
402,682.6027427,682.602735,0.00000763,,,,,402,4.12E-05,2.73E-01,,,,,,
403,684.013561,684.0135498,0.00001119,,,,,403,3.96E-05,2.33E-01,,,,,,
404,684.9726384,684.9726299,0.0000085,,,,,404,9.14E-05,2.87E-01,,,,,,
405,686.1632385,686.1632236,0.00001491,,,,,405,5.73E-05,2.12E-01,,,,,,
406,687.9615614,687.9615432,0.00001822,,,,,406,3.53E-05,3.11E-01,,,,,,
407,689.3689489,689.3689414,0.00000753,,,,,407,5.98E-05,2.53E-01,,,,,,
408,690.4747516,690.474735,0.0000166,,,,,408,6.04E-05,2.60E-01,,,,,,
409,692.4517059,692.4516844,0.00002144,,,,,409,5.25E-05,2.28E-01,,,,,,
410,693.1769671,693.1769701,0.00000293,,,,,410,6.49E-05,2.75E-01,,,,,,
411,694.5339326,694.5339087,0.00002386,,,,,411,1.02E-04,2.44E-01,,,,,,
412,696.626188,695.7263359,0.89985204,,,,,412,5.52E-05,2.59E-01,,,,,,
413,696.6260959,696.6260699,0.00002596,,,,,413,5.53E-05,2.37E-01,,,,,,
414,699.1321195,699.1320955,0.00002406,,,,,414,3.46E-05,2.55E-01,,,,,,
415,700.2967358,700.2967391,0.00000335,,,,,415,5.02E-05,2.39E-01,,,,,,
416,701.3017636,701.301743,0.00002063,,,,,416,3.46E-05,2.25E-01,,,,,,
417,702.227349,702.2273432,0.00000586,,,,,417,3.45E-05,2.61E-01,,,,,,
418,704.0338586,704.0338393,0.00001931,,,,,418,3.97E-05,2.33E-01,,,,,,
419,705.1256423,705.125814,0.00017161,,,,,419,3.60E-05,2.35E-01,,,,,,
420,706.184678,706.1846548,0.00002322,,,,,420,3.29E-05,2.54E-01,,,,,,
421,708.2690839,708.2690709,0.00001306,,,,,421,3.19E-05,3.10E-01,,,,,,
422,709.2296006,709.2295886,0.00001199,,,,,422,1.01E-04,2.39E-01,,,,,,
423,711.1302932,711.1302742,0.00001903,,,,,423,3.86E-05,2.67E-01,,,,,,
424,713.5161002,711.9002899,1.61581032,,,,,424,5.16E-05,2.24E-01,,,,,,
425,711.9002902,712.7493835,0.84909325,,,,,425,4.22E-05,2.85E-01,,,,,,
426,714.0827896,714.0827718,0.00001773,,,,,426,5.19E-05,2.73E-01,,,,,,
427,716.1124138,716.1123965,0.00001733,,,,,427,4.69E-05,2.89E-01,,,,,,
428,717.4825799,717.4825697,0.00001017,,,,,428,4.98E-05,3.05E-01,,,,,,
429,718.742796,718.7427866,0.00000946,,,,,429,5.12E-05,3.24E-01,,,,,,
430,719.6971145,719.697101,0.00001353,,,,,430,6.59E-05,3.25E-01,,,,,,
431,721.3511538,721.3511622,0.00000841,,,,,431,5.30E-05,3.25E-01,,,,,,
432,722.2775196,722.277505,0.0000146,,,,,432,4.78E-05,3.25E-01,,,,,,
433,724.5626995,723.8458211,0.71687844,,,,,433,5.22E-05,3.06E-01,,,,,,
434,724.5626344,724.5626139,0.0000205,,,,,434,3.58E-05,3.46E-01,,,,,,
435,727.0564289,727.0564032,0.00002567,,,,,435,5.25E-05,2.82E-01,,,,,,
436,728.405452,728.4054816,0.00002961,,,,,436,3.86E-05,3.04E-01,,,,,,
437,728.758792,728.7587498,0.0000422,,,,,437,3.46E-05,3.60E-01,,,,,,
438,730.4177362,730.4164821,0.00125412,,,,,438,3.63E-05,2.83E-01,,,,,,
439,731.417366,731.4173549,0.00001109,,,,,439,5.06E-05,3.20E-01,,,,,,
440,732.8180684,732.8180527,0.00001571,,,,,440,5.29E-05,3.53E-01,,,,,,
441,734.789661,734.7896433,0.00001776,,,,,441,3.81E-05,3.85E-01,,,,,,
442,735.7654624,735.7654592,0.00000314,,,,,442,3.45E-05,2.94E-01,,,,,,
443,737.0529457,737.0529289,0.00001683,,,,,443,5.62E-05,3.75E-01,,,,,,
444,738.5804315,738.5804212,0.00001033,,,,,444,4.94E-05,2.80E-01,,,,,,
445,736.693423,739.9095237,3.21610072,,,,,445,1.57E-03,3.12E-01,,,,,,
446,739.9095925,740.5738075,0.66421495,,,,,446,9.79E-05,3.51E-01,,,,,,
447,741.7573543,741.7573356,0.00001875,,,,,447,7.43E-05,2.69E-01,,,,,,
448,743.8950322,743.8950131,0.00001902,,,,,448,5.25E-05,3.52E-01,,,,,,
449,745.3449941,745.3449896,0.00000458,,,,,449,3.63E-05,3.03E-01,,,,,,
450,746.499327,746.4993059,0.00002111,,,,,450,4.15E-05,3.02E-01,,,,,,
451,748.2427844,747.6745636,0.5682208,,,,,451,5.27E-05,3.80E-01,,,,,,
452,748.242784,748.2427545,0.00002952,,,,,452,5.16E-05,2.93E-01,,,,,,
453,750.9753473,750.6559504,0.3193969,,,,,453,3.61E-05,3.26E-01,,,,,,
454,750.9663801,750.9663811,0.00000102,,,,,454,3.51E-05,3.36E-01,,,,,,
455,752.8876409,752.8876216,0.00001937,,,,,455,3.77E-05,3.22E-01,,,,,,
456,754.3223762,754.3223705,0.00000569,,,,,456,4.64E-05,2.70E-01,,,,,,
457,755.839336,755.839309,0.00002703,,,,,457,4.04E-05,3.08E-01,,,,,,
458,756.7682346,756.7682484,0.00001385,,,,,458,3.56E-05,2.86E-01,,,,,,
459,758.9413362,758.1017293,0.83960694,,,,,459,5.49E-05,3.11E-01,,,,,,
460,756.696391,758.9002382,2.20384726,,,,,460,3.42E-05,3.43E-01,,,,,,
461,760.2823963,760.282367,0.00002931,,,,,461,3.59E-05,3.21E-01,,,,,,
462,762.7000491,762.7000333,0.00001589,,,,,462,3.55E-05,3.26E-01,,,,,,
463,763.5930668,763.5930662,0.0000006,,,,,463,3.71E-05,2.97E-01,,,,,,
464,764.3075364,764.3075227,0.00001369,,,,,464,5.45E-05,3.37E-01,,,,,,
465,766.0875546,766.0875401,0.00001449,,,,,465,3.81E-05,2.94E-01,,,,,,
466,767.2184785,767.2184722,0.0000063,,,,,466,3.86E-05,2.91E-01,,,,,,
467,768.2814735,768.2814618,0.00001167,,,,,467,8.31E-05,3.13E-01,,,,,,
468,769.6934196,769.6934073,0.00001236,,,,,468,4.40E-05,3.10E-01,,,,,,
469,771.0708518,771.0708393,0.00001252,,,,,469,3.89E-05,3.28E-01,,,,,,
470,772.9616386,772.9616176,0.00002106,,,,,470,4.55E-05,3.07E-01,,,,,,
471,774.1177365,774.1177446,0.00000811,,,,,471,3.57E-05,3.05E-01,,,,,,
472,775.0474426,775.0478471,0.00040449,,,,,472,5.19E-05,2.76E-01,,,,,,
473,775.999733,775.999712,0.00002104,,,,,473,4.23E-05,3.58E-01,,,,,,
474,777.2997703,777.2997485,0.00002175,,,,,474,4.10E-05,2.79E-01,,,,,,
475,779.1570853,779.157077,0.00000835,,,,,475,3.72E-05,3.98E-01,,,,,,
476,780.3489415,780.348925,0.00001645,,,,,476,4.12E-05,3.36E-01,,,,,,
477,782.1376643,782.1376644,0.00000008,,,,,477,4.62E-05,2.94E-01,,,,,,
478,782.5979623,782.597944,0.00001836,,,,,478,3.71E-05,3.39E-01,,,,,,
479,784.2888309,784.2888226,0.00000829,,,,,479,3.83E-05,3.62E-01,,,,,,
480,785.7391622,785.7390897,0.00007245,,,,,480,4.85E-05,3.29E-01,,,,,,
481,787.4684897,786.4611475,1.00734229,,,,,481,5.80E-05,3.75E-01,,,,,,
482,787.4684897,787.4684638,0.00002592,,,,,482,4.52E-05,2.97E-01,,,,,,
483,790.0591143,790.0590924,0.00002198,,,,,483,3.55E-05,2.82E-01,,,,,,
484,790.8316181,790.8316205,0.00000235,,,,,484,4.64E-05,3.55E-01,,,,,,
485,792.4258465,792.4277076,0.00186112,,,,,485,4.49E-05,3.19E-01,,,,,,
486,792.888647,792.8886526,0.0000056,,,,,486,3.71E-05,3.31E-01,,,,,,
487,794.4838078,794.4837919,0.00001593,,,,,487,3.59E-05,2.71E-01,,,,,,
488,795.6066038,795.6065962,0.0000076,,,,,488,5.15E-05,3.81E-01,,,,,,
489,797.2634873,797.26347,0.00001727,,,,,489,3.65E-05,3.30E-01,,,,,,
490,798.7075734,798.7075702,0.00000325,,,,,490,3.54E-05,2.69E-01,,,,,,
491,799.6543519,799.6543362,0.00001569,,,,,491,5.35E-05,2.80E-01,,,,,,
492,801.6042625,801.6042465,0.00001607,,,,,492,4.22E-05,3.29E-01,,,,,,
493,803.3419916,802.5419849,0.80000673,,,,,493,3.72E-05,3.12E-01,,,,,,
494,803.2431133,803.2430962,0.00001708,,,,,494,4.74E-05,2.77E-01,,,,,,
495,804.762242,804.7622391,0.0000029,,,,,495,4.13E-05,2.80E-01,,,,,,
496,805.8616506,805.8616357,0.00001497,,,,,496,4.49E-05,3.32E-01,,,,,,
497,808.1518385,808.1518149,0.00002353,,,,,497,3.62E-05,3.21E-01,,,,,,
498,809.1977717,809.1977834,0.00001166,,,,,498,3.54E-05,3.42E-01,,,,,,
499,810.0818295,810.0818049,0.0000246,,,,,499,4.71E-05,2.93E-01,,,,,,
500,811.1843605,811.1843589,0.0000016,,,,,500,3.46E-05,3.31E-01,,,,,,
501,812.771129,812.7711084,0.00002059,,,,,501,6.60E-05,3.01E-01,,,,,,
502,814.556176,814.0459136,0.51026236,,,,,502,3.59E-05,3.04E-01,,,,,,
503,814.8705594,814.8705396,0.00001982,,,,,503,7.43E-05,2.71E-01,,,,,,
504,816.7277498,816.7277377,0.00001208,,,,,504,4.54E-05,3.10E-01,,,,,,
505,818.3806851,818.3806689,0.00001622,,,,,505,4.16E-05,2.86E-01,,,,,,
506,819.204642,819.2046422,0.00000016,,,,,506,5.39E-05,3.43E-01,,,,,,
507,820.7219195,820.7218984,0.00002107,,,,,507,3.66E-05,2.93E-01,,,,,,
508,820.743301,821.7134541,0.9701531,,,,,508,7.31E-05,2.97E-01,,,,,,
509,822.1844906,822.1977575,0.01326685,,,,,509,4.72E-05,4.34E-01,,,,,,
510,824.5263092,824.5262939,0.00001534,,,,,510,3.58E-05,2.87E-01,,,,,,
511,826.0392949,826.0392874,0.00000748,,,,,511,4.06E-05,3.32E-01,,,,,,
512,826.905821,826.905811,0.00001007,,,,,512,3.59E-05,3.23E-01,,,,,,
513,828.3401845,828.3401743,0.00001015,,,,,513,4.32E-05,2.55E-01,,,,,,
514,829.4370209,829.437011,0.00000988,,,,,514,4.93E-05,3.41E-01,,,,,,
515,830.8958931,830.8958841,0.00000899,,,,,515,3.59E-05,3.19E-01,,,,,,
516,831.799784,831.7997777,0.00000633,,,,,516,3.59E-05,2.72E-01,,,,,,
517,833.0036526,833.0036409,0.00001166,,,,,517,3.67E-05,2.80E-01,,,,,,
518,834.65193,834.6519152,0.00001482,,,,,518,3.65E-05,2.57E-01,,,,,,
519,836.6935944,836.6935762,0.0000182,,,,,519,5.55E-05,3.46E-01,,,,,,
520,837.3473314,837.3473351,0.00000369,,,,,520,3.66E-05,2.92E-01,,,,,,
521,838.2490325,838.249022,0.00001047,,,,,521,3.72E-05,3.05E-01,,,,,,
522,839.465407,839.4653948,0.00001222,,,,,522,3.52E-05,3.86E-01,,,,,,
523,841.0364002,841.0363898,0.00001035,,,,,523,8.19E-05,4.64E-01,,,,,,
524,842.0413664,842.0413542,0.00001216,,,,,524,3.61E-05,3.21E-01,,,,,,
525,844.166219,844.1661966,0.0000224,,,,,525,3.70E-05,2.95E-01,,,,,,
526,844.8059868,844.805994,0.00000716,,,,,526,3.68E-05,3.25E-01,,,,,,
527,846.1947898,846.1947699,0.00001985,,,,,527,3.60E-05,3.31E-01,,,,,,
528,847.9717093,847.9717176,0.00000836,,,,,528,4.27E-05,2.83E-01,,,,,,
529,848.4893051,848.4892812,0.00002394,,,,,529,3.57E-05,2.74E-01,,,,,,
530,850.6454717,849.8622744,0.78319739,,,,,530,5.46E-05,3.07E-01,,,,,,
531,850.6454711,850.6454485,0.00002262,,,,,531,5.21E-05,3.08E-01,,,,,,
532,853.1631326,853.1631126,0.00001997,,,,,532,7.82E-05,3.21E-01,,,,,,
533,854.0955085,854.0955117,0.00000325,,,,,533,4.48E-05,2.91E-01,,,,,,
534,855.286728,855.2867102,0.00001773,,,,,534,4.37E-05,2.72E-01,,,,,,
535,852.4500836,856.4841175,4.0340339,,,,,535,4.77E-05,3.03E-01,,,,,,
536,857.3107534,857.3107406,0.00001279,,,,,536,5.84E-05,2.77E-01,,,,,,
537,858.9040396,858.9040265,0.00001313,,,,,537,4.50E-05,2.81E-01,,,,,,
538,858.9441774,860.4106709,1.46649347,,,,,538,4.17E-05,3.22E-01,,,,,,
539,861.1711114,861.1710982,0.00001317,,,,,539,3.54E-05,4.38E-01,,,,,,
540,863.1897345,863.1897198,0.00001468,,,,,540,3.95E-05,3.91E-01,,,,,,
541,864.3408296,864.3408239,0.0000057,,,,,541,3.61E-05,2.73E-01,,,,,,
542,865.5946702,865.5946643,0.00000586,,,,,542,5.09E-05,2.72E-01,,,,,,
543,866.4237491,866.4237399,0.00000914,,,,,543,3.61E-05,2.82E-01,,,,,,
544,873.2229061,867.6931226,5.52978351,,,,,544,4.73E-05,3.39E-01,,,,,,
545,868.6705093,868.6704942,0.00001505,,,,,545,5.84E-05,2.99E-01,,,,,,
546,870.8469187,870.8469023,0.00001633,,,,,546,5.12E-05,3.10E-01,,,,,,
547,872.1887545,872.1887508,0.00000369,,,,,547,6.89E-05,3.08E-01,,,,,,
548,873.0989973,873.098979,0.00001831,,,,,548,4.20E-05,2.78E-01,,,,,,
549,873.9083993,873.9083892,0.00001002,,,,,549,4.33E-05,3.40E-01,,,,,,
550,875.9852439,875.9852851,0.0000412,,,,,550,5.21E-05,3.16E-01,,,,,,
551,876.6007321,876.6008258,0.00009376,,,,,551,4.21E-05,3.51E-01,,,,,,
552,877.6547149,877.6546983,0.00001651,,,,,552,4.89E-05,2.78E-01,,,,,,
553,879.380963,879.380952,0.00001106,,,,,553,4.72E-05,2.51E-01,,,,,,
554,880.8346602,880.8346489,0.00001138,,,,,554,4.46E-05,2.87E-01,,,,,,
555,882.3867081,882.3866966,0.00001143,,,,,555,4.64E-05,3.06E-01,,,,,,
