x,pi,Li,ratio1,ratio2
28,9,11.3835,0.79062,1.07107
28,9,11.3835,0.79062,1.07107
29,10,11.682,0.856019,1.16114
29,10,11.682,0.856019,1.16114
29,10,11.682,0.856019,1.16114
30,10,11.9775,0.834901,1.13373
30,10,11.9775,0.834901,1.13373
31,11,12.2701,0.896491,1.21851
31,11,12.2701,0.896491,1.21851
31,11,12.2701,0.896491,1.21851
32,11,12.5599,0.875801,1.19135
32,11,12.5599,0.875801,1.19135
33,11,12.8472,0.856219,1.1655
33,11,12.8472,0.856219,1.1655
34,11,13.132,0.837651,1.14088
34,11,13.132,0.837651,1.14088
35,11,13.4144,0.820015,1.1174
35,11,13.4144,0.820015,1.1174
36,11,13.6945,0.80324,1.09496
36,11,13.6945,0.80324,1.09496
37,12,13.9725,0.858828,1.17111
37,12,13.9725,0.858828,1.17111
38,12,14.2484,0.842198,1.14871
38,12,14.2484,0.842198,1.14871
39,12,14.5224,0.826312,1.12725
39,12,14.5224,0.826312,1.12725
40,12,14.7944,0.811119,1.10666
40,12,14.7944,0.811119,1.10666
41,13,15.0646,0.862953,1.17747
41,13,15.0646,0.862953,1.17747
42,13,15.333,0.847846,1.1569
42,13,15.333,0.847846,1.1569
43,14,15.5997,0.897455,1.22458
44,14,15.8647,0.882461,1.20406
44,14,15.8647,0.882461,1.20406
45,14,16.1282,0.868045,1.18429
45,14,16.1282,0.868045,1.18429
46,14,16.3901,0.854172,1.16524
47,15,16.6506,0.900868,1.22877
47,15,16.6506,0.900868,1.22877
48,15,16.9096,0.887069,1.20975
49,15,17.1673,0.873757,1.19137
49,15,17.1673,0.873757,1.19137
50,15,17.4235,0.860905,1.17361
51,15,17.6785,0.848488,1.15642
51,15,17.6785,0.848488,1.15642
52,15,17.9322,0.836483,1.13978
53,16,18.1847,0.879861,1.19858
53,16,18.1847,0.879861,1.19858
54,16,18.436,0.867869,1.18192
55,16,18.6861,0.856252,1.16577
56,16,18.9351,0.844993,1.1501
56,16,18.9351,0.844993,1.1501
57,16,19.1829,0.834074,1.13489
58,16,19.4297,0.82348,1.12012
59,17,19.6755,0.864018,1.17488
60,17,19.9202,0.853403,1.16006
60,17,19.9202,0.853403,1.16006
61,18,20.164,0.89268,1.21304
62,18,20.4068,0.88206,1.1982
63,18,20.6486,0.87173,1.18375
64,18,20.8895,0.861677,1.16969
65,18,21.1295,0.851889,1.15598
66,18,21.3686,0.842357,1.14263
66,18,21.3686,0.842357,1.14263
67,19,21.6069,0.87935,1.19238
68,19,21.8443,0.869793,1.17898
69,19,22.0809,0.860473,1.16591
70,19,22.3166,0.851382,1.15316
71,20,22.5516,0.886854,1.20075
72,20,22.7858,0.877738,1.18796
73,21,23.0193,0.912278,1.23424
74,21,23.252,0.903148,1.22142
75,21,23.484,0.894227,1.2089
76,21,23.7152,0.885507,1.19665
77,21,23.9458,0.876981,1.18467
78,21,24.1757,0.868642,1.17296
79,22,24.4049,0.90146,1.21681
80,22,24.6334,0.893097,1.20506
81,22,24.8613,0.88491,1.19355
83,23,25.3151,0.908548,1.2245
84,23,25.5411,0.900508,1.2132
85,23,25.7665,0.892631,1.20213
86,23,25.9913,0.884911,1.19128
87,23,26.2155,0.877343,1.18064
88,23,26.4392,0.869922,1.17021
89,24,26.6622,0.90015,1.21042
91,24,27.1067,0.88539,1.18968
92,24,27.3281,0.878217,1.1796
93,24,27.549,0.871175,1.1697
94,24,27.7694,0.864262,1.15999
96,24,28.2085,0.850806,1.14109
97,25,28.4274,0.879434,1.17905
98,25,28.6457,0.87273,1.16963
100,25,29.081,0.859668,1.15129
101,26,29.2979,0.887436,1.18805
102,26,29.5143,0.880928,1.17891
104,27,29.9459,0.901627,1.20576
105,27,30.161,0.895197,1.19673
107,28,30.5898,0.915337,1.2228
108,28,30.8036,0.908984,1.21389
110,29,31.2299,0.928596,1.23922
111,29,31.4425,0.922319,1.23042
113,30,31.8663,0.941432,1.25506
114,30,32.0777,0.93523,1.24637
116,30,32.4992,0.9231,1.22938
117,30,32.7094,0.917169,1.22107
119,30,33.1286,0.905562,1.20482
120,30,33.3376,0.899884,1.19687
122,30,33.7547,0.888766,1.18132
124,30,34.1703,0.877956,1.1662
125,30,34.3776,0.872662,1.1588
127,31,34.7911,0.891032,1.18244
129,31,35.2033,0.880599,1.16786
131,32,35.6142,0.898518,1.19089
132,32,35.8192,0.893376,1.18371
134,32,36.2281,0.883291,1.16963
136,32,36.6359,0.873461,1.15592
138,33,37.0424,0.890872,1.17826
140,34,37.4477,0.907933,1.20011
142,34,37.8518,0.898239,1.18661
144,34,38.2548,0.888777,1.17343
146,34,38.6567,0.879537,1.16057
148,34,39.0575,0.870512,1.14801
150,35,39.4571,0.887038,1.16915
152,36,39.8558,0.903257,1.18987
154,36,40.2533,0.894336,1.17747
156,36,40.6499,0.885611,1.16535
158,37,41.0455,0.90144,1.18554
160,37,41.44,0.892857,1.17363
162,37,41.8336,0.884456,1.16198
164,38,42.2262,0.899914,1.18168
167,39,42.8135,0.910929,1.19522
169,39,43.2038,0.902699,1.18382
171,39,43.5932,0.894635,1.17266
173,40,43.9817,0.909468,1.19151
176,40,44.5629,0.897607,1.17511
178,40,44.9493,0.889891,1.16445
181,42,45.5273,0.922523,1.20628
183,42,45.9116,0.914801,1.19562
186,42,46.4866,0.903486,1.18001
188,42,46.8689,0.896116,1.16984
191,43,47.441,0.906389,1.18245
193,44,47.8214,0.92009,1.19978
196,44,48.3906,0.909267,1.18488
199,46,48.9582,0.939577,1.22358
201,46,49.3357,0.932389,1.21369
204,46,49.9006,0.921833,1.19918
207,46,50.4639,0.911543,1.18505
210,46,51.0257,0.901507,1.17127
212,47,51.3994,0.914408,1.18755
215,47,51.9587,0.904564,1.17405
218,47,52.5166,0.894955,1.16088
221,47,53.073,0.885572,1.14803
224,48,53.6281,0.895053,1.15964
227,49,54.1818,0.904363,1.17102
230,50,54.7341,0.913507,1.18219
233,51,55.2851,0.922491,1.19315
237,51,56.0178,0.910426,1.17667
240,52,56.5658,0.919284,1.18747
243,53,57.1125,0.927992,1.19808
246,53,57.6581,0.919212,1.18611
250,53,58.3836,0.90779,1.17055
253,54,58.9263,0.916399,1.18104
257,55,59.6482,0.922073,1.18755
260,55,60.1882,0.9138,1.1763
264,56,60.9066,0.919441,1.18278
267,56,61.4441,0.911398,1.17186
271,58,62.159,0.93309,1.19898
274,58,62.694,0.925128,1.18818
278,59,63.4057,0.930516,1.19435
282,60,64.1156,0.93581,1.20041
286,61,64.8237,0.941014,1.20635
290,61,65.53,0.930871,1.19263
294,62,66.2347,0.936066,1.19858
298,62,66.9376,0.926236,1.1853
302,62,67.6389,0.916632,1.17234
306,62,68.3386,0.907248,1.15968
310,63,69.0366,0.912559,1.16582
314,65,69.7331,0.932125,1.19016
318,66,70.4281,0.937126,1.1959
323,66,71.2947,0.925736,1.18057
327,66,71.9862,0.916842,1.16862
331,67,72.6764,0.921895,1.17445
336,67,73.537,0.911106,1.15996
340,68,74.2239,0.916147,1.16579
345,68,75.0806,0.905693,1.15177
350,70,75.9352,0.921838,1.17159
354,71,76.6174,0.926682,1.17718
359,72,77.4683,0.929413,1.17994
364,72,78.3171,0.919339,1.16647
369,73,79.164,0.922136,1.16934
374,74,80.009,0.924896,1.17218
379,75,80.852,0.927621,1.17497
384,76,81.6932,0.93031,1.17773
390,77,82.7002,0.931074,1.17793
395,77,83.5373,0.921744,1.1655
400,78,84.3727,0.924469,1.16834
406,79,85.3729,0.925352,1.16872
411,80,86.2045,0.928026,1.1715
417,80,87.2002,0.917429,1.15743
422,82,88.0282,0.93152,1.17462
428,82,89.0196,0.921146,1.16086
434,84,90.0087,0.933244,1.17543
440,85,90.9955,0.934112,1.17585
446,86,91.9802,0.934984,1.17629
452,87,92.9626,0.93586,1.17675
458,88,93.943,0.936738,1.17722
464,90,94.9212,0.948155,1.19093
470,91,95.8974,0.948931,1.19127
477,91,97.0338,0.937818,1.17661
483,92,98.0056,0.938722,1.17715
490,93,99.137,0.938096,1.17567
496,94,100.105,0.939017,1.17625
503,96,101.231,0.948324,1.18723
510,97,102.355,0.94768,1.18576
517,97,103.477,0.937408,1.17226
524,99,104.596,0.946499,1.18299
531,99,105.713,0.9365,1.16987
538,99,106.827,0.926731,1.15706
546,100,108.098,0.925087,1.15433
553,101,109.207,0.924845,1.15344
560,102,110.315,0.924627,1.15259
568,103,111.578,0.923124,1.15007
576,105,112.838,0.930541,1.15867
584,106,114.095,0.929051,1.15618
591,107,115.193,0.928878,1.15542
599,109,116.445,0.936064,1.16375
608,111,117.851,0.94187,1.17028
616,112,119.097,0.940407,1.16786
624,114,120.342,0.947303,1.17584
633,115,121.738,0.944648,1.17189
641,116,122.977,0.943263,1.1696
650,118,124.368,0.948794,1.17582
659,120,125.757,0.954225,1.18192
668,121,127.142,0.951694,1.17817
677,123,128.524,0.95702,1.18416
686,124,129.903,0.954555,1.18051
695,125,131.28,0.952163,1.17696
705,126,132.807,0.948748,1.1721
714,127,134.178,0.946507,1.16877
724,128,135.698,0.943272,1.16416
734,130,137.215,0.947419,1.16867
744,132,138.729,0.951497,1.1731
754,133,140.24,0.948376,1.16867
764,135,141.748,0.952398,1.17305
774,137,143.252,0.956354,1.17735
785,137,144.904,0.945451,1.16331
795,138,146.403,0.942602,1.15926
806,139,148.049,0.938881,1.15409
817,141,149.691,0.941942,1.15728
828,144,151.329,0.951566,1.16852
839,146,152.965,0.954467,1.17152
851,146,154.746,0.943484,1.15743
862,149,156.375,0.952841,1.16836
874,150,158.148,0.948478,1.16243
886,153,159.918,0.95674,1.17197
898,154,161.684,0.952473,1.16618
910,155,163.447,0.948318,1.16053
922,157,165.207,0.950324,1.16244
935,158,167.109,0.945489,1.15594
947,161,168.862,0.953442,1.16513
960,162,170.757,0.948717,1.15879
973,164,172.648,0.949909,1.15969
987,166,174.681,0.950305,1.15959
1000,168,176.564,0.951494,1.1605
1013,170,178.445,0.952676,1.16142
1027,172,180.466,0.95309,1.16136
1041,175,182.483,0.958996,1.168
1055,177,184.496,0.959373,1.16791
1069,180,186.505,0.965123,1.17437
1084,180,188.653,0.954131,1.16044
1099,184,190.798,0.964372,1.17234
1114,186,192.938,0.964041,1.17138
1129,189,195.074,0.968864,1.1767
1144,189,197.206,0.95839,1.16345
1159,191,199.334,0.958192,1.1627
1175,193,201.599,0.957344,1.16112
